username,retweet_count,reply_count,like_count,quote_count,url,text,created_at,id,conversation_id
capebretonpost,0,0,0,0,https://www.saltwire.com/cape-breton/news/provincial/one-killed-two-hurt-in-kings-county-crash-100752682/?utm_medium=Social&utm_source=Twitter#Echobox=1657665217-1,"ICYMI: One killed, two hurt in Kings County crash | SaltWire https://t.co/b02F1gHdfa",2022-07-13T12:31:54.000Z,1547197122247888896,1547197122247888896
capebretonpost,1,0,0,0,https://www.saltwire.com/cape-breton/news/provincial/mass-killer-had-history-of-inflicting-physical-sexual-emotional-abuse-on-others-inquiry-told-100752495/?utm_medium=Social&utm_source=Twitter#Echobox=1657665151-1,"ICYMI: Mass killer had history of inflicting physical, sexual, emotional abuse on others, inquiry told | SaltWire https://t.co/1dIlVPKVGS",2022-07-13T12:01:02.000Z,1547189354556170240,1547189354556170240
capebretonpost,0,0,0,0,https://www.saltwire.com/cape-breton/sports/cape-breton-highlands-education-centre-academy-present-ross-maclellan-with-athlete-of-the-year-awards-100752551/?utm_medium=Social&utm_source=Twitter#Echobox=1657665036-1,"ICYMI: Cape Breton Highlands Education Centre Academy present Ross, MacLellan with athlete of the year awards - Story by @CBPost_Jeremy | SaltWire https://t.co/cPWdzs66AA",2022-07-13T11:45:30.000Z,1547185446081511429,1547185446081511429
capebretonpost,0,0,0,0,https://www.saltwire.com/cape-breton/sports/cape-breton-eagles-buteau-to-attend-buffalo-sabres-development-camp-this-week-100752584/?utm_medium=Social&utm_source=Twitter#Echobox=1657664959-1,ICYMI: Cape Breton Eagles’ Buteau to attend Buffalo Sabres development camp this week - Story by @CBPost_Jeremy | SaltWire https://t.co/eQmF39P1Lz,2022-07-13T11:30:24.000Z,1547181648466395137,1547181648466395137
StJohnsTelegram,0,0,0,0,https://www.saltwire.com/newfoundland-labrador/news/local/horse-dead-following-multi-vehicle-crash-on-veterans-memorial-highway-100752854/?utm_medium=Social&utm_source=Twitter#Echobox=1657729871-2,"Shortly before midnight, Harbour Grace RCMP responded to the scene of the crash and found two vehicles had minor contact with the animal and sustained minor damages. https://t.co/TiQRUTg0bs",2022-07-13T16:31:11.000Z,1547257341933981697,1547257341933981697
StJohnsTelegram,0,0,1,0,https://www.saltwire.com/newfoundland-labrador/business/taking-the-leap-newfoundland-home-based-bath-product-business-moves-into-a-retail-location-100752643/?utm_medium=Social&utm_source=Twitter#Echobox=1657706577,"After telling her the home-based business brings a lot of peace, Tash Aylward’s ill grandmother said “Go with it. You only live once.”

“So when she died, I put in my notice at work and yeah, we took that leap,” Aylward said.

https://t.co/kuivzXPDZw",2022-07-13T15:31:17.000Z,1547242268247072768,1547242268247072768
StJohnsTelegram,0,0,1,0,https://www.saltwire.com/newfoundland-labrador/business/bank-of-canada-seen-set-for-jumbo-75-bp-rate-hike-as-inflation-bites-100752740/?utm_medium=Social&utm_source=Twitter#Echobox=1657723977-2,"""With the economy clearly in excess demand, inflation high and broadening, and more businesses and consumers expecting high inflation to persist for longer, the Governing Council decided to front-load the path to higher interest rates,"" the bank said. 

https://t.co/6EWyOsyUZt",2022-07-13T14:52:57.000Z,1547232622195138560,1547232622195138560
StJohnsTelegram,1,0,0,0,https://www.saltwire.com/newfoundland-labrador/news/watch-chief-medical-officer-of-health-is-live-to-discuss-covid-19-booster-shot-eligibility-100752896/?utm_medium=Social&utm_source=Twitter#Echobox=1657722661-2,WATCH: Chief Medical Officer of Health is live to discuss COVID-19 booster shot eligibility https://t.co/SUxptOvofG,2022-07-13T14:31:00.000Z,1547227098225561604,1547227098225561604
StJohnsTelegram,1,1,1,0,https://www.saltwire.com/newfoundland-labrador/news/you-cant-do-this-to-a-man-gander-resident-battling-several-major-health-issues-devastated-after-wife-ordered-to-leave-country-100752695/?utm_medium=Social&utm_source=Twitter#Echobox=1657706615,"As Dennis Wick battles several major health issues, his wife, Lisa Southern, will be sent on a plane back to Australia in two weeks for failing to renew her residency visa more than once.

“I don’t know if Dennis can survive."" 

From @pjackson_nl

https://t.co/sF0vCJONiE",2022-07-13T14:01:39.000Z,1547219710537830401,1547219710537830401
StJohnsTelegram,0,0,1,0,https://www.saltwire.com/newfoundland-labrador/news/over-several-decades-more-than-1000-children-in-english-town-were-sexually-exploited-while-police-failed-to-investigate-offenders-inquiry-finds-100752654/?utm_medium=Social&utm_source=Twitter#Echobox=1657719480-2,"Victims and survivors in Telford, England repeatedly told the inquiry how adult men worked to gain their trust before ruthlessly betraying that trust and treating them as sexual objects or commodities.

https://t.co/AKqqN8UOi1",2022-07-13T13:38:00.000Z,1547213758283620354,1547213758283620354
